Country,Count of Earthquakes
ALBANIA,1
ALGERIA,1
AZORES (PORTUGAL),1
BRAZIL,1
CONGO,1
FRANCE,1
ICELAND,1
JAMAICA,1
JORDAN,1
KIRIBATI,1
LEBANON,1
MOZAMBIQUE,1
PACIFIC OCEAN,1
PALAU,1
SOUTH AFRICA,1
SYRIA,1
UK TERRITORY,1
ANTIGUA AND BARBUDA,2
CUBA,2
EGYPT,2
GEORGIA,2
GUADELOUPE,2
KYRGYZSTAN,2
"MICRONESIA, FED. STATES OF",2
SOLOMON SEA,2
SOUTH SUDAN,2
SPAIN,2
TANZANIA,2
TRINIDAD AND TOBAGO,2
UKRAINE,2
BANGLADESH,3
INDIAN OCEAN,3
ISRAEL,3
MARTINIQUE,3
ROMANIA,3
UZBEKISTAN,3
ANTARCTICA,4
ATLANTIC OCEAN,4
BOLIVIA,4
BULGARIA,4
DOMINICAN REPUBLIC,4
GUATEMALA,4
HAITI,4
KAZAKHSTAN,4
TAJIKISTAN,4
EL SALVADOR,5
ITALY,5
MONGOLIA,5
ARGENTINA,6
NEPAL,6
PANAMA,6
CANADA,7
PORTUGAL,7
SAMOA,7
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,7
HONDURAS,4
TURKMENISTAN,8
VENEZUELA,8
NICARAGUA,9
PAKISTAN,9
AUSTRALIA,10
COSTA RICA,10
CROATIA,11
FIJI,11
USA TERRITORY,12
MYANMAR (BURMA),13
AFGHANISTAN,15
NEW CALEDONIA,16
KERMADEC ISLANDS (NEW ZEALAND),17
TONGA,17
INDIA,18
COLOMBIA,21
IRAN,25
ECUADOR,27
NEW ZEALAND,28
TAIWAN,31
VANUATU,35
TURKEY,38
GREECE,45
SOLOMON ISLANDS,47
PHILIPPINES,65
PAPUA NEW GUINEA,68
MEXICO,83
PERU,86
USA,88
CHINA,92
CHILE,95
RUSSIA,96
INDONESIA,135
JAPAN,187
